,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords$lat,coords$lon
479,0,0,472,391,-3.263153553,0.655644596,7,0,1,0.003046472,15.28899956,0.947000027,0.046,44.66113167,-63.43483973
480,0,0,551,521,-2.513443947,0.282266289,8,0,1,0.003316202,15.15600014,1.019000053,0.041999999,44.65956467,-63.43262067
481,0,0,532,511,-2.521659851,0.372742265,8,0,1,0.003181473,14.41100025,0.995999992,0.041000001,44.65767921,-63.43128229
482,0,0,510,531,-2.530500889,0.101042882,9,0,1,0.003217363,14.69099998,1.251000047,0.057999998,44.65708042,-63.42289028
483,0,0,392,430,-2.719051361,0.56832993,9,0,1,0.002008235,15.40699959,1.832000017,0.266000003,44.65677512,-63.42023937
484,0,0,566,541,-2.5,0.071118817,8,0,1,0.002795119,15.00599957,1.129999995,0.035999998,44.65579374,-63.42994399
485,0,0,606,563,-2.5,0,9,0,1,0.002689857,15.29699993,1.33099997,0.041000001,44.65549848,-63.42464454
486,0,0,60,86,-2.971213341,2.17315793,19,21,3,0.620004356,7.593999863,1.083999991,0.143000007,44.65026507,-62.90905206
488,0,0,172,197,-5.83827734,4.290891171,28,29,0,0.047943641,8.321000099,0.703000009,0.061000001,44.5958449,-63.96089051
489,0,0,NA,NA,-3.427357197,5.792483807,34,23,0,NA,9.088999748,0.81099999,0.028999999,44.57992682,-64.05100573
492,0,0,137,266,-6.161605835,1.728978515,33,10,0,0.151643559,9.961000443,1.036999941,0.092,44.54108207,-63.95338066
493,0,0,298,319,-5.824833393,4.580402851,34,29,0,0.053528987,8.152999878,0.786000013,0.022,44.53738448,-64.01675873
495,0,0,NA,NA,-3.341700077,2.391887188,20,21,0,NA,10.15499973,0.372000009,0.046,44.50368663,-64.26713814
496,0,0,130,162,-5.114699841,5.238694191,16,19,0,0.058642067,9.954000473,0.455000013,0.046999998,44.49362626,-64.17667634
497,0,0,NA,NA,-5.220181465,NA,36,18,0,0.185123086,9.901000023,1.263000011,0.052000001,44.49722801,-63.52342936
498,0,0,NA,NA,-5.930304527,NA,36,29,0,0.160434708,10.09799957,1.491999984,0.027000001,44.48520393,-63.53432563
499,0,0,517,192,-4.713399887,4.301434994,24,18,0,0.014590557,10.68500042,1.208999991,0.078000002,44.47480608,-64.13713155
501,0,0,78,97,-5.110499859,4.962407589,36,18,0,0.376310796,10.11999989,1.574000001,0.068999998,44.47758365,-63.54657874
