,X.1,X,PA,cover,suitability8,suitability9,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords.lat,coords.lon,biomass,cover.prop
141,629,629,1,62.5,606,642,0.353411645,0.062456183,3,0,1,0.001575973,20.80999947,3.118000031,0.048999999,44.15364859,-64.61370363,140.6848368,0.625
142,358,358,1,63.33333206,511,603,0.565360785,0.450385898,13,5,1,0.001723174,14.29599953,4.734000206,0.437000006,44.72308553,-63.00881934,143.7290094,0.633333321
143,608,608,1,67,748,685,-0.513578236,0.05687486,20,1,1,0.014531987,13.37300014,2.426000118,0.166999996,44.22004006,-64.3543681,157.58683,0.67
144,721,721,1,67.5,780,724,0.35630095,0.591813385,15,2,1,0.026451964,16.82900047,4.198999882,0.337000012,43.81633494,-64.92750833,159.5350468,0.675
145,713,713,1,69.01999664,633,500,-0.123525091,5.138446331,11,1,1,0.002175884,17.61400032,5.086999893,0.157000005,43.82881542,-64.93487471,165.5438506,0.690199966
146,366,366,1,70,620,658,0.623812258,2.649141312,8,1,1,0.008118755,21.30400085,3.007999897,0.148000002,44.71917751,-63.17056251,169.486783,0.7
147,374,374,1,70,800,787,0.581755757,0.050792117,8,1,1,0.045476578,20.3390007,3.244999886,0.187000006,44.71602337,-63.17276274,169.486783,0.7
148,437,437,1,70,738,700,0.707228065,1.00958395,13,0,1,0.031447262,13.65499973,5.347000122,0.177000001,44.6962582,-63.1020242,169.486783,0.7
149,451,451,1,70,643,555,-0.454066455,0.810454071,10,1,0,0.132245898,14.4659996,4.710000038,0.179000005,44.69240137,-63.16650843,169.486783,0.7
150,458,458,1,70,619,614,0.790830672,0.039232027,12,3,1,0.000781242,18.98999977,3.871999979,0.032000002,44.68675078,-63.15147525,169.486783,0.7
151,535,535,1,70.83333588,562,552,-0.326976269,4.490107536,14,15,2,0.005869553,10.69699955,0.690999985,0.024,44.40715829,-64.27692033,172.8820583,0.708333359
152,402,402,1,71.40000153,100,616,-0.733409464,0.616098821,19,1,1,0.111685462,13.38500023,1.898000002,0.175999999,44.70750239,-62.81838651,175.2131166,0.714000015
153,678,678,1,71.66666412,722,672,0.311048448,0.676941872,1,0,1,0.026363447,22.61100006,3.680999994,0.090000004,43.86803861,-64.96314919,176.3163119,0.716666641
