source,subproject,id,site,subsite,year,month,day,SamplingType_1,SamplingType_2,SamplingType_3,latitude,longitude,seagrass,bathy_m,subObs,subObs_JT,SubObs_Jtcat,percent.cover,percent.cover.cat,percent.cover.notes,,
SG observations,,108,Crescent Beach,,2020,8,7,Surface observation,,,44.23805,-64.40674,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,109,Crescent Beach,,2020,8,7,Surface observation,,,44.23813,-64.4066,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,110,Crescent Beach,,2020,8,7,Surface observation,,,44.23832,-64.40608,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,111,Crescent Beach,,2020,8,7,Surface observation,,,44.23846,-64.40589,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,112,Crescent Beach,,2020,8,7,Surface observation,,,44.23855,-64.40576,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,113,Crescent Beach,,2020,8,7,Surface observation,,,44.23861,-64.40571,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,114,Crescent Beach,,2020,8,7,Surface observation,,,44.2385,-64.40527,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,115,Crescent Beach,,2020,8,7,Surface observation,,,44.23847,-64.4046,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,116,Crescent Beach,,2020,8,7,Surface observation,,,44.23789,-64.40326,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,117,Crescent Beach,,2020,8,7,Surface observation,,,44.23774,-64.40202,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,118,Crescent Beach,,2020,8,7,Surface observation,,,44.23757,-64.40182,1,,Sand,soft,1,NA,NA,,,
SG observations,,119,Crescent Beach,,2020,8,7,Surface observation,,,44.2375,-64.40156,1,,Sand,soft,1,NA,NA,,,
SG observations,,120,Crescent Beach,,2020,8,7,Surface observation,,,44.2374,-64.40111,1,,Sand,soft,1,NA,NA,,,
SG observations,,121,Crescent Beach,,2020,8,7,Surface observation,,,44.23711,-64.39736,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,122,Crescent Beach,,2020,8,7,Surface observation,,,44.23684,-64.39676,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,123,Crescent Beach,,2020,8,7,Surface observation,,,44.23654,-64.39586,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,124,Crescent Beach,,2020,8,7,Surface observation,,,44.23455,-64.38289,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,125,Crescent Beach,,2020,8,7,Video transect,,,44.23768,-64.40295,1,,Sand,soft,1,,,where are these?,,
SG observations,,126,Crescent Beach,,2020,8,7,Video transect,,,44.23721,-64.40053,1,,Sand,soft,1,,,where are these?,,
SG observations,,127,Crescent Beach,,2020,8,7,Video transect,,,44.2378,-64.40057,1,,Sand & Mud,soft,1,,,where are these?,,
SG observations,,128,Fifty Acre Island,,2020,11,7,Surface observation,,,44.39221,-64.26751,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,129,Indian Island,,2020,8,24,Surface observation,,,44.39878,-64.21266,1,,Mixed,mixed,2,NA,NA,,,
SG observations,,130,La Have,,2020,8,7,Surface observation,,,44.21966,-64.37939,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,131,La Have,,2020,8,7,Surface observation,,,44.22113,-64.37532,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,132,La Have,,2020,8,7,Surface observation,,,44.22077,-64.37347,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,133,La Have,,2020,8,7,Surface observation,,,44.2198,-64.37362,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,134,La Have,,2020,8,7,Surface observation,,,44.21891,-64.37413,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,135,La Have,,2020,8,7,Surface observation,,,44.21392,-64.37636,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,136,La Have,,2020,8,7,Surface observation,,,44.21388,-64.37724,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,137,La Have,,2020,8,7,Surface observation,,,44.21393,-64.37964,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,138,La Have,,2020,8,7,Surface observation,,,44.214,-64.3811,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,139,La Have,,2020,8,7,Surface observation,,,44.20008,-64.37609,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,140,La Have,,2020,8,7,Surface observation,,,44.19594,-64.37987,0,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,141,La Have,,2020,8,7,Surface observation,,,44.22295,-64.38116,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,142,La Have,,2020,8,7,Surface observation,,,44.22261,-64.38031,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,143,La Have,,2020,8,7,Surface observation,,,44.2218,-64.38036,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,144,La Have,,2020,8,7,Surface observation,,,44.22142,-64.38031,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,145,La Have,,2020,8,7,Surface observation,,,44.22041,-64.37797,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,146,La Have,,2020,8,7,Surface observation,,,44.22074,-64.37724,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,147,La Have,,2020,8,7,Surface observation,,,44.22107,-64.37664,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,148,La Have,,2020,8,7,Surface observation,,,44.20105,-64.37585,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,149,La Have,,2020,8,7,Surface observation,,,44.20073,-64.37653,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,150,La Have,,2020,8,7,Surface observation,,,44.1982,-64.37567,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,151,La Have,,2020,8,7,Surface observation,,,44.19774,-64.37693,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,152,La Have,,2020,8,7,Surface observation,,,44.19769,-64.37725,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,153,La Have,,2020,8,7,Surface observation,,,44.19757,-64.378,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,154,La Have,,2020,8,7,Surface observation,,,44.19756,-64.37825,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,155,La Have,,2020,8,7,Surface observation,,,44.19752,-64.37854,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,156,La Have,,2020,8,7,Surface observation,,,44.19743,-64.37884,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,157,La Have,,2020,8,7,Surface observation,,,44.19697,-64.37906,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,158,La Have,,2020,8,7,Surface observation,,,44.19662,-64.37914,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,159,La Have,,2020,8,7,Surface observation,,,44.19644,-64.37979,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,160,La Have,,2020,8,7,Surface observation,,,44.19617,-64.38013,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,161,La Have,,2020,8,7,Surface observation,,,44.19572,-64.3798,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,162,La Have,,2020,8,7,Surface observation,,,44.19542,-64.38004,1,,Sand & Mud,soft,1,NA,NA,,,
